phase,variant,hit_at_1,hit_at_5,mrr,precision_at_5,recall_at_5,ndcg_at_5,latency_mean_ms,latency_p95_ms
document_processing_chunking,fixed_size,0.689922480620155,0.9534883720930233,0.796640826873385,0.30697674418604654,0.8759689922480619,0.8224303784764714,559.461122962973,633.7116799995783
document_processing_chunking,docling,0.6666666666666666,0.9069767441860465,0.7771317829457365,0.3333333333333333,0.8378552971576227,0.8032267455271459,602.725694814823,713.9669700000011
document_processing_chunking,docling_semantic,0.7054263565891473,0.9069767441860465,0.7984496124031008,0.3333333333333333,0.8378552971576227,0.8154277751277107,499.3379525925438,606.2665399998878
retrieval,dense,0.6976744186046512,0.9534883720930233,0.8081395348837209,0.30697674418604654,0.8837209302325583,0.8326571782109883,588.5408511111126,749.9120699999366
retrieval,sparse,0.6511627906976745,0.7906976744186046,0.7073643410852714,0.2418604651162791,0.751937984496124,0.7130823696380993,14.00363555555857,19.761590000325665
retrieval,hybrid,0.689922480620155,0.9534883720930233,0.7944444444444444,0.30697674418604654,0.8759689922480619,0.8240801067534296,581.5734866666456,665.8857999999781
cross_encoder_reranking,without_reranking,0.6976744186046512,0.9534883720930233,0.8081395348837209,0.30697674418604654,0.8837209302325583,0.8326571782109883,569.0474562962763,671.8379799998729
cross_encoder_reranking,cross_encoder_reranking,0.8837209302325583,0.9534883720930233,0.9089147286821705,0.3116279069767442,0.9031007751937986,0.9084792375139913,6031.806485925881,14199.497740000515
llm_reranking,without_reranking,0.6976744186046512,0.9534883720930233,0.8081395348837209,0.30697674418604654,0.8837209302325583,0.8326571782109883,480.3122044444333,638.3827299998301
llm_reranking,llm_reranking,0.883720930232558,0.9844961240310077,0.9208010335917312,0.3224806201550388,0.9354005167958657,0.9271438570126005,13007.41434740746,19093.553119999888

